HOST_CASE case_id=ARR_mitdb_118_chunk00 class_label=ARR mem_path=fullrec_afe_30min_annotation_valid_balanced/test/ARR/118/118_30min_w000.mem
SNN_ECG_FULL_REPLAY_BEGIN
protocol=raw_i16le_chunk_ack sample_bytes=2 chunk_samples=4096 ack_byte=0xA5
snn_config=0xD8C023C0 feeder_config=0xF1F01010
total_samples=1800000
SNN_ECG_FULL_REPLAY_READY total_samples=1800000
BOARD_PROGRESS samples_received=450560 samples_sent_to_ip=450560
BOARD_PROGRESS samples_received=454656 samples_sent_to_ip=454656
BOARD_PROGRESS samples_received=458752 samples_sent_to_ip=458752
BOARD_PROGRESS samples_received=462848 samples_sent_to_ip=462848
BOARD_PROGRESS samples_received=466944 samples_sent_to_ip=466944
BOARD_PROGRESS samples_received=471040 samples_sent_to_ip=471040
BOARD_PROGRESS samples_received=475136 samples_sent_to_ip=475136
BOARD_PROGRESS samples_received=479232 samples_sent_to_ip=479232
BOARD_PROGRESS samples_received=483328 samples_sent_to_ip=483328
BOARD_PROGRESS samples_received=487424 samples_sent_to_ip=487424
BOARD_PROGRESS samples_received=491520 samples_sent_to_ip=491520
BOARD_PROGRESS samples_received=495616 samples_sent_to_ip=495616
BOARD_PROGRESS samples_received=499712 samples_sent_to_ip=499712
BOARD_PROGRESS samples_received=503808 samples_sent_to_ip=503808
BOARD_PROGRESS samples_received=507904 samples_sent_to_ip=507904
BOARD_PROGRESS samples_received=512000 samples_sent_to_ip=512000
BOARD_PROGRESS samples_received=516096 samples_sent_to_ip=516096
BOARD_PROGRESS samples_received=520192 samples_sent_to_ip=520192
BOARD_PROGRESS samples_received=524288 samples_sent_to_ip=524288
BOARD_PROGRESS samples_received=528384 samples_sent_to_ip=528384
BOARD_PROGRESS samples_received=532480 samples_sent_to_ip=532480
BOARD_PROGRESS samples_received=536576 samples_sent_to_ip=536576
BOARD_PROGRESS samples_received=540672 samples_sent_to_ip=540672
BOARD_PROGRESS samples_received=544768 samples_sent_to_ip=544768
BOARD_PROGRESS samples_received=548864 samples_sent_to_ip=548864
BOARD_PROGRESS samples_received=552960 samples_sent_to_ip=552960
BOARD_PROGRESS samples_received=557056 samples_sent_to_ip=557056
BOARD_PROGRESS samples_received=561152 samples_sent_to_ip=561152
BOARD_PROGRESS samples_received=565248 samples_sent_to_ip=565248
BOARD_PROGRESS samples_received=569344 samples_sent_to_ip=569344
BOARD_PROGRESS samples_received=573440 samples_sent_to_ip=573440
BOARD_PROGRESS samples_received=577536 samples_sent_to_ip=577536
BOARD_PROGRESS samples_received=581632 samples_sent_to_ip=581632
BOARD_PROGRESS samples_received=585728 samples_sent_to_ip=585728
BOARD_PROGRESS samples_received=589824 samples_sent_to_ip=589824
BOARD_PROGRESS samples_received=593920 samples_sent_to_ip=593920
BOARD_PROGRESS samples_received=598016 samples_sent_to_ip=598016
BOARD_PROGRESS samples_received=602112 samples_sent_to_ip=602112
BOARD_PROGRESS samples_received=606208 samples_sent_to_ip=606208
BOARD_PROGRESS samples_received=610304 samples_sent_to_ip=610304
BOARD_PROGRESS samples_received=614400 samples_sent_to_ip=614400
BOARD_PROGRESS samples_received=618496 samples_sent_to_ip=618496
BOARD_PROGRESS samples_received=622592 samples_sent_to_ip=622592
BOARD_PROGRESS samples_received=626688 samples_sent_to_ip=626688
BOARD_PROGRESS samples_received=630784 samples_sent_to_ip=630784
BOARD_PROGRESS samples_received=634880 samples_sent_to_ip=634880
BOARD_PROGRESS samples_received=638976 samples_sent_to_ip=638976
BOARD_PROGRESS samples_received=643072 samples_sent_to_ip=643072
BOARD_PROGRESS samples_received=647168 samples_sent_to_ip=647168
BOARD_PROGRESS samples_received=651264 samples_sent_to_ip=651264
BOARD_PROGRESS samples_received=655360 samples_sent_to_ip=655360
BOARD_PROGRESS samples_received=659456 samples_sent_to_ip=659456
BOARD_PROGRESS samples_received=663552 samples_sent_to_ip=663552
BOARD_PROGRESS samples_received=667648 samples_sent_to_ip=667648
BOARD_PROGRESS samples_received=671744 samples_sent_to_ip=671744
BOARD_PROGRESS samples_received=675840 samples_sent_to_ip=675840
BOARD_PROGRESS samples_received=679936 samples_sent_to_ip=679936
BOARD_PROGRESS samples_received=684032 samples_sent_to_ip=684032
BOARD_PROGRESS samples_received=688128 samples_sent_to_ip=688128
BOARD_PROGRESS samples_received=692224 samples_sent_to_ip=692224
BOARD_PROGRESS samples_received=696320 samples_sent_to_ip=696320
BOARD_PROGRESS samples_received=700416 samples_sent_to_ip=700416
BOARD_PROGRESS samples_received=704512 samples_sent_to_ip=704512
BOARD_PROGRESS samples_received=708608 samples_sent_to_ip=708608
BOARD_PROGRESS samples_received=712704 samples_sent_to_ip=712704
BOARD_PROGRESS samples_received=716800 samples_sent_to_ip=716800
BOARD_PROGRESS samples_received=720896 samples_sent_to_ip=720896
BOARD_PROGRESS samples_received=724992 samples_sent_to_ip=724992
BOARD_PROGRESS samples_received=729088 samples_sent_to_ip=729088
BOARD_PROGRESS samples_received=733184 samples_sent_to_ip=733184
BOARD_PROGRESS samples_received=737280 samples_sent_to_ip=737280
BOARD_PROGRESS samples_received=741376 samples_sent_to_ip=741376
BOARD_PROGRESS samples_received=745472 samples_sent_to_ip=745472
BOARD_PROGRESS samples_received=749568 samples_sent_to_ip=749568
BOARD_PROGRESS samples_received=753664 samples_sent_to_ip=753664
BOARD_PROGRESS samples_received=757760 samples_sent_to_ip=757760
BOARD_PROGRESS samples_received=761856 samples_sent_to_ip=761856
BOARD_PROGRESS samples_received=765952 samples_sent_to_ip=765952
BOARD_PROGRESS samples_received=770048 samples_sent_to_ip=770048
BOARD_PROGRESS samples_received=774144 samples_sent_to_ip=774144
BOARD_PROGRESS samples_received=778240 samples_sent_to_ip=778240
BOARD_PROGRESS samples_received=782336 samples_sent_to_ip=782336
BOARD_PROGRESS samples_received=786432 samples_sent_to_ip=786432
BOARD_PROGRESS samples_received=790528 samples_sent_to_ip=790528
BOARD_PROGRESS samples_received=794624 samples_sent_to_ip=794624
BOARD_PROGRESS samples_received=798720 samples_sent_to_ip=798720
BOARD_PROGRESS samples_received=802816 samples_sent_to_ip=802816
BOARD_PROGRESS samples_received=806912 samples_sent_to_ip=806912
BOARD_PROGRESS samples_received=811008 samples_sent_to_ip=811008
BOARD_PROGRESS samples_received=815104 samples_sent_to_ip=815104
BOARD_PROGRESS samples_received=819200 samples_sent_to_ip=819200
BOARD_PROGRESS samples_received=823296 samples_sent_to_ip=823296
BOARD_PROGRESS samples_received=827392 samples_sent_to_ip=827392
BOARD_PROGRESS samples_received=831488 samples_sent_to_ip=831488
BOARD_PROGRESS samples_received=835584 samples_sent_to_ip=835584
BOARD_PROGRESS samples_received=839680 samples_sent_to_ip=839680
BOARD_PROGRESS samples_received=843776 samples_sent_to_ip=843776
BOARD_PROGRESS samples_received=847872 samples_sent_to_ip=847872
BOARD_PROGRESS samples_received=851968 samples_sent_to_ip=851968
BOARD_PROGRESS samples_received=856064 samples_sent_to_ip=856064
BOARD_PROGRESS samples_received=860160 samples_sent_to_ip=860160
BOARD_PROGRESS samples_received=864256 samples_sent_to_ip=864256
BOARD_PROGRESS samples_received=868352 samples_sent_to_ip=868352
BOARD_PROGRESS samples_received=872448 samples_sent_to_ip=872448
BOARD_PROGRESS samples_received=876544 samples_sent_to_ip=876544
BOARD_PROGRESS samples_received=880640 samples_sent_to_ip=880640
BOARD_PROGRESS samples_received=884736 samples_sent_to_ip=884736
BOARD_PROGRESS samples_received=888832 samples_sent_to_ip=888832
BOARD_PROGRESS samples_received=892928 samples_sent_to_ip=892928
BOARD_PROGRESS samples_received=897024 samples_sent_to_ip=897024
BOARD_PROGRESS samples_received=901120 samples_sent_to_ip=901120
BOARD_PROGRESS samples_received=905216 samples_sent_to_ip=905216
BOARD_PROGRESS samples_received=909312 samples_sent_to_ip=909312
BOARD_PROGRESS samples_received=913408 samples_sent_to_ip=913408
BOARD_PROGRESS samples_received=917504 samples_sent_to_ip=917504
BOARD_PROGRESS samples_received=921600 samples_sent_to_ip=921600
BOARD_PROGRESS samples_received=925696 samples_sent_to_ip=925696
BOARD_PROGRESS samples_received=929792 samples_sent_to_ip=929792
BOARD_PROGRESS samples_received=933888 samples_sent_to_ip=933888
BOARD_PROGRESS samples_received=937984 samples_sent_to_ip=937984
BOARD_PROGRESS samples_received=942080 samples_sent_to_ip=942080
BOARD_PROGRESS samples_received=946176 samples_sent_to_ip=946176
BOARD_PROGRESS samples_received=950272 samples_sent_to_ip=950272
BOARD_PROGRESS samples_received=954368 samples_sent_to_ip=954368
BOARD_PROGRESS samples_received=958464 samples_sent_to_ip=958464
BOARD_PROGRESS samples_received=962560 samples_sent_to_ip=962560
BOARD_PROGRESS samples_received=966656 samples_sent_to_ip=966656
BOARD_PROGRESS samples_received=970752 samples_sent_to_ip=970752
BOARD_PROGRESS samples_received=974848 samples_sent_to_ip=974848
BOARD_PROGRESS samples_received=978944 samples_sent_to_ip=978944
BOARD_PROGRESS samples_received=983040 samples_sent_to_ip=983040
BOARD_PROGRESS samples_received=987136 samples_sent_to_ip=987136
BOARD_PROGRESS samples_received=991232 samples_sent_to_ip=991232
BOARD_PROGRESS samples_received=995328 samples_sent_to_ip=995328
BOARD_PROGRESS samples_received=999424 samples_sent_to_ip=999424
BOARD_PROGRESS samples_received=1003520 samples_sent_to_ip=1003520
BOARD_PROGRESS samples_received=1007616 samples_sent_to_ip=1007616
BOARD_PROGRESS samples_received=1011712 samples_sent_to_ip=1011712
BOARD_PROGRESS samples_received=1015808 samples_sent_to_ip=1015808
BOARD_PROGRESS samples_received=1019904 samples_sent_to_ip=1019904
BOARD_PROGRESS samples_received=1024000 samples_sent_to_ip=1024000
BOARD_PROGRESS samples_received=1028096 samples_sent_to_ip=1028096
BOARD_PROGRESS samples_received=1032192 samples_sent_to_ip=1032192
BOARD_PROGRESS samples_received=1036288 samples_sent_to_ip=1036288
BOARD_PROGRESS samples_received=1040384 samples_sent_to_ip=1040384
BOARD_PROGRESS samples_received=1044480 samples_sent_to_ip=1044480
BOARD_PROGRESS samples_received=1048576 samples_sent_to_ip=1048576
BOARD_PROGRESS samples_received=1052672 samples_sent_to_ip=1052672
BOARD_PROGRESS samples_received=1056768 samples_sent_to_ip=1056768
BOARD_PROGRESS samples_received=1060864 samples_sent_to_ip=1060864
BOARD_PROGRESS samples_received=1064960 samples_sent_to_ip=1064960
BOARD_PROGRESS samples_received=1069056 samples_sent_to_ip=1069056
BOARD_PROGRESS samples_received=1073152 samples_sent_to_ip=1073152
BOARD_PROGRESS samples_received=1077248 samples_sent_to_ip=1077248
BOARD_PROGRESS samples_received=1081344 samples_sent_to_ip=1081344
BOARD_PROGRESS samples_received=1085440 samples_sent_to_ip=1085440
BOARD_PROGRESS samples_received=1089536 samples_sent_to_ip=1089536
BOARD_PROGRESS samples_received=1093632 samples_sent_to_ip=1093632
BOARD_PROGRESS samples_received=1097728 samples_sent_to_ip=1097728
BOARD_PROGRESS samples_received=1101824 samples_sent_to_ip=1101824
BOARD_PROGRESS samples_received=1105920 samples_sent_to_ip=1105920
BOARD_PROGRESS samples_received=1110016 samples_sent_to_ip=1110016
BOARD_PROGRESS samples_received=1114112 samples_sent_to_ip=1114112
BOARD_PROGRESS samples_received=1118208 samples_sent_to_ip=1118208
BOARD_PROGRESS samples_received=1122304 samples_sent_to_ip=1122304
BOARD_PROGRESS samples_received=1126400 samples_sent_to_ip=1126400
BOARD_PROGRESS samples_received=1130496 samples_sent_to_ip=1130496
BOARD_PROGRESS samples_received=1134592 samples_sent_to_ip=1134592
BOARD_PROGRESS samples_received=1138688 samples_sent_to_ip=1138688
BOARD_PROGRESS samples_received=1142784 samples_sent_to_ip=1142784
BOARD_PROGRESS samples_received=1146880 samples_sent_to_ip=1146880
BOARD_PROGRESS samples_received=1150976 samples_sent_to_ip=1150976
BOARD_PROGRESS samples_received=1155072 samples_sent_to_ip=1155072
BOARD_PROGRESS samples_received=1159168 samples_sent_to_ip=1159168
BOARD_PROGRESS samples_received=1163264 samples_sent_to_ip=1163264
BOARD_PROGRESS samples_received=1167360 samples_sent_to_ip=1167360
BOARD_PROGRESS samples_received=1171456 samples_sent_to_ip=1171456
BOARD_PROGRESS samples_received=1175552 samples_sent_to_ip=1175552
BOARD_PROGRESS samples_received=1179648 samples_sent_to_ip=1179648
BOARD_PROGRESS samples_received=1183744 samples_sent_to_ip=1183744
BOARD_PROGRESS samples_received=1187840 samples_sent_to_ip=1187840
BOARD_PROGRESS samples_received=1191936 samples_sent_to_ip=1191936
BOARD_PROGRESS samples_received=1196032 samples_sent_to_ip=1196032
BOARD_PROGRESS samples_received=1200128 samples_sent_to_ip=1200128
BOARD_PROGRESS samples_received=1204224 samples_sent_to_ip=1204224
BOARD_PROGRESS samples_received=1208320 samples_sent_to_ip=1208320
BOARD_PROGRESS samples_received=1212416 samples_sent_to_ip=1212416
BOARD_PROGRESS samples_received=1216512 samples_sent_to_ip=1216512
BOARD_PROGRESS samples_received=1220608 samples_sent_to_ip=1220608
BOARD_PROGRESS samples_received=1224704 samples_sent_to_ip=1224704
BOARD_PROGRESS samples_received=1228800 samples_sent_to_ip=1228800
BOARD_PROGRESS samples_received=1232896 samples_sent_to_ip=1232896
BOARD_PROGRESS samples_received=1236992 samples_sent_to_ip=1236992
BOARD_PROGRESS samples_received=1241088 samples_sent_to_ip=1241088
BOARD_PROGRESS samples_received=1245184 samples_sent_to_ip=1245184
BOARD_PROGRESS samples_received=1249280 samples_sent_to_ip=1249280
BOARD_PROGRESS samples_received=1253376 samples_sent_to_ip=1253376
BOARD_PROGRESS samples_received=1257472 samples_sent_to_ip=1257472
BOARD_PROGRESS samples_received=1261568 samples_sent_to_ip=1261568
BOARD_PROGRESS samples_received=1265664 samples_sent_to_ip=1265664
BOARD_PROGRESS samples_received=1269760 samples_sent_to_ip=1269760
BOARD_PROGRESS samples_received=1273856 samples_sent_to_ip=1273856
BOARD_PROGRESS samples_received=1277952 samples_sent_to_ip=1277952
BOARD_PROGRESS samples_received=1282048 samples_sent_to_ip=1282048
BOARD_PROGRESS samples_received=1286144 samples_sent_to_ip=1286144
BOARD_PROGRESS samples_received=1290240 samples_sent_to_ip=1290240
BOARD_PROGRESS samples_received=1294336 samples_sent_to_ip=1294336
BOARD_PROGRESS samples_received=1298432 samples_sent_to_ip=1298432
BOARD_PROGRESS samples_received=1302528 samples_sent_to_ip=1302528
BOARD_PROGRESS samples_received=1306624 samples_sent_to_ip=1306624
BOARD_PROGRESS samples_received=1310720 samples_sent_to_ip=1310720
BOARD_PROGRESS samples_received=1314816 samples_sent_to_ip=1314816
BOARD_PROGRESS samples_received=1318912 samples_sent_to_ip=1318912
BOARD_PROGRESS samples_received=1323008 samples_sent_to_ip=1323008
BOARD_PROGRESS samples_received=1327104 samples_sent_to_ip=1327104
BOARD_PROGRESS samples_received=1331200 samples_sent_to_ip=1331200
BOARD_PROGRESS samples_received=1335296 samples_sent_to_ip=1335296
BOARD_PROGRESS samples_received=1339392 samples_sent_to_ip=1339392
BOARD_PROGRESS samples_received=1343488 samples_sent_to_ip=1343488
BOARD_PROGRESS samples_received=1347584 samples_sent_to_ip=1347584
BOARD_PROGRESS samples_received=1351680 samples_sent_to_ip=1351680
BOARD_PROGRESS samples_received=1355776 samples_sent_to_ip=1355776
BOARD_PROGRESS samples_received=1359872 samples_sent_to_ip=1359872
BOARD_PROGRESS samples_received=1363968 samples_sent_to_ip=1363968
BOARD_PROGRESS samples_received=1368064 samples_sent_to_ip=1368064
BOARD_PROGRESS samples_received=1372160 samples_sent_to_ip=1372160
BOARD_PROGRESS samples_received=1376256 samples_sent_to_ip=1376256
BOARD_PROGRESS samples_received=1380352 samples_sent_to_ip=1380352
BOARD_PROGRESS samples_received=1384448 samples_sent_to_ip=1384448
BOARD_PROGRESS samples_received=1388544 samples_sent_to_ip=1388544
BOARD_PROGRESS samples_received=1392640 samples_sent_to_ip=1392640
BOARD_PROGRESS samples_received=1396736 samples_sent_to_ip=1396736
BOARD_PROGRESS samples_received=1400832 samples_sent_to_ip=1400832
BOARD_PROGRESS samples_received=1404928 samples_sent_to_ip=1404928
BOARD_PROGRESS samples_received=1409024 samples_sent_to_ip=1409024
BOARD_PROGRESS samples_received=1413120 samples_sent_to_ip=1413120
BOARD_PROGRESS samples_received=1417216 samples_sent_to_ip=1417216
BOARD_PROGRESS samples_received=1421312 samples_sent_to_ip=1421312
BOARD_PROGRESS samples_received=1425408 samples_sent_to_ip=1425408
BOARD_PROGRESS samples_received=1429504 samples_sent_to_ip=1429504
BOARD_PROGRESS samples_received=1433600 samples_sent_to_ip=1433600
BOARD_PROGRESS samples_received=1437696 samples_sent_to_ip=1437696
BOARD_PROGRESS samples_received=1441792 samples_sent_to_ip=1441792
BOARD_PROGRESS samples_received=1445888 samples_sent_to_ip=1445888
BOARD_PROGRESS samples_received=1449984 samples_sent_to_ip=1449984
BOARD_PROGRESS samples_received=1454080 samples_sent_to_ip=1454080
BOARD_PROGRESS samples_received=1458176 samples_sent_to_ip=1458176
BOARD_PROGRESS samples_received=1462272 samples_sent_to_ip=1462272
BOARD_PROGRESS samples_received=1466368 samples_sent_to_ip=1466368
BOARD_PROGRESS samples_received=1470464 samples_sent_to_ip=1470464
BOARD_PROGRESS samples_received=1474560 samples_sent_to_ip=1474560
BOARD_PROGRESS samples_received=1478656 samples_sent_to_ip=1478656
BOARD_PROGRESS samples_received=1482752 samples_sent_to_ip=1482752
BOARD_PROGRESS samples_received=1486848 samples_sent_to_ip=1486848
BOARD_PROGRESS samples_received=1490944 samples_sent_to_ip=1490944
BOARD_PROGRESS samples_received=1495040 samples_sent_to_ip=1495040
BOARD_PROGRESS samples_received=1499136 samples_sent_to_ip=1499136
BOARD_PROGRESS samples_received=1503232 samples_sent_to_ip=1503232
BOARD_PROGRESS samples_received=1507328 samples_sent_to_ip=1507328
BOARD_PROGRESS samples_received=1511424 samples_sent_to_ip=1511424
BOARD_PROGRESS samples_received=1515520 samples_sent_to_ip=1515520
BOARD_PROGRESS samples_received=1519616 samples_sent_to_ip=1519616
BOARD_PROGRESS samples_received=1523712 samples_sent_to_ip=1523712
BOARD_PROGRESS samples_received=1527808 samples_sent_to_ip=1527808
BOARD_PROGRESS samples_received=1531904 samples_sent_to_ip=1531904
BOARD_PROGRESS samples_received=1536000 samples_sent_to_ip=1536000
BOARD_PROGRESS samples_received=1540096 samples_sent_to_ip=1540096
BOARD_PROGRESS samples_received=1544192 samples_sent_to_ip=1544192
BOARD_PROGRESS samples_received=1548288 samples_sent_to_ip=1548288
BOARD_PROGRESS samples_received=1552384 samples_sent_to_ip=1552384
BOARD_PROGRESS samples_received=1556480 samples_sent_to_ip=1556480
BOARD_PROGRESS samples_received=1560576 samples_sent_to_ip=1560576
BOARD_PROGRESS samples_received=1564672 samples_sent_to_ip=1564672
BOARD_PROGRESS samples_received=1568768 samples_sent_to_ip=1568768
BOARD_PROGRESS samples_received=1572864 samples_sent_to_ip=1572864
BOARD_PROGRESS samples_received=1576960 samples_sent_to_ip=1576960
BOARD_PROGRESS samples_received=1581056 samples_sent_to_ip=1581056
BOARD_PROGRESS samples_received=1585152 samples_sent_to_ip=1585152
BOARD_PROGRESS samples_received=1589248 samples_sent_to_ip=1589248
BOARD_PROGRESS samples_received=1593344 samples_sent_to_ip=1593344
BOARD_PROGRESS samples_received=1597440 samples_sent_to_ip=1597440
BOARD_PROGRESS samples_received=1601536 samples_sent_to_ip=1601536
BOARD_PROGRESS samples_received=1605632 samples_sent_to_ip=1605632
BOARD_PROGRESS samples_received=1609728 samples_sent_to_ip=1609728
BOARD_PROGRESS samples_received=1613824 samples_sent_to_ip=1613824
BOARD_PROGRESS samples_received=1617920 samples_sent_to_ip=1617920
BOARD_PROGRESS samples_received=1622016 samples_sent_to_ip=1622016
BOARD_PROGRESS samples_received=1626112 samples_sent_to_ip=1626112
BOARD_PROGRESS samples_received=1630208 samples_sent_to_ip=1630208
BOARD_PROGRESS samples_received=1634304 samples_sent_to_ip=1634304
BOARD_PROGRESS samples_received=1638400 samples_sent_to_ip=1638400
BOARD_PROGRESS samples_received=1642496 samples_sent_to_ip=1642496
