dataset,class_label,record_id,n_samples,full_min,full_max,full_clip,full_clip_ratio,body_min,body_max,body_clip,body_clip_ratio
fullrec_DB_127,CHF,chf04,71995392,1311,2914,0,0.0,1311,2914,0,0.0
fullrec_DB_127,CHF,chf06,71159808,1501,2654,0,0.0,1501,2654,0,0.0
fullrec_DB_127,CHF,chf07,71995392,1348,2720,0,0.0,1348,2720,0,0.0
fullrec_DB_127,CHF,chf08,71995392,904,3276,0,0.0,904,3276,0,0.0
fullrec_DB_127,CHF,chf09,71186308,552,3800,0,0.0,552,3800,0,0.0
fullrec_DB_127,CHF,chf10,71982844,1281,2864,0,0.0,1281,2864,0,0.0
fullrec_DB_127,CHF,chf13,71986776,1038,2974,0,0.0,1038,2974,0,0.0
fullrec_DB_127,CHF,chf15,71973772,0,4095,2338,3.248e-05,0,4095,2338,3.248e-05
fullrec_DB_127,NSR,16265,91648000,1524,2970,0,0.0,1524,2970,0,0.0
fullrec_DB_127,NSR,16272,90000000,398,3730,0,0.0,398,3730,0,0.0
fullrec_DB_127,NSR,16420,86336000,1617,2722,0,0.0,1617,2722,0,0.0
fullrec_DB_127,NSR,16483,93440000,1472,2661,0,0.0,1472,2661,0,0.0
fullrec_DB_127,NSR,16795,84896000,1534,3358,0,0.0,1534,3358,0,0.0
fullrec_DB_127,NSR,17453,87776000,1425,2861,0,0.0,1425,2861,0,0.0
fullrec_DB_127,NSR,18177,93440000,1435,2932,0,0.0,1435,2932,0,0.0
fullrec_DB_127,NSR,18184,85488000,1060,3427,0,0.0,1060,3427,0,0.0
fullrec_DB_127,NSR,19088,85680000,1604,2434,0,0.0,1604,2434,0,0.0
fullrec_DB_127,NSR,19093,83640000,1497,2762,0,0.0,1497,2762,0,0.0
fullrec_DB_127,AFF,04126,36823040,1235,3090,0,0.0,1235,3090,0,0.0
fullrec_DB_127,AFF,08215,36823040,1468,2491,0,0.0,1468,2491,0,0.0
fullrec_DB_127,AFF,08219,36823040,1330,2811,0,0.0,1330,2811,0,0.0
fullrec_DB_127,ARR,102,1805555,1689,3372,0,0.0,1689,2428,0,0.0
fullrec_DB_127,ARR,106,1805555,1601,3342,0,0.0,1601,2684,0,0.0
fullrec_DB_127,ARR,111,1805555,1712,3416,0,0.0,1712,2399,0,0.0
fullrec_DB_127,ARR,223,1805555,1367,3175,0,0.0,1367,2695,0,0.0
fullrec_DB_127,ARR,x_114,600000,1516,3414,0,0.0,1516,2314,0,0.0
fullrec_DB_127,CHF,chf01,71977964,878,2932,0,0.0,878,2932,0,0.0
fullrec_DB_127,CHF,chf02,71172096,1209,3636,0,0.0,1209,3636,0,0.0
fullrec_DB_127,NSR,16273,88704000,1465,3049,0,0.0,1465,3049,0,0.0
fullrec_DB_127,NSR,16786,88160000,1564,2910,0,0.0,1564,2910,0,0.0
fullrec_DB_127,NSR,17052,83280000,1515,2760,0,0.0,1515,2760,0,0.0
fullrec_DB_127,NSR,19140,87024000,1658,2475,0,0.0,1658,2475,0,0.0
fullrec_DB_127,AFF,04015,36823040,0,4095,169,4.59e-06,0,4095,169,4.59e-06
fullrec_DB_127,AFF,08405,36823040,867,3322,0,0.0,867,3322,0,0.0
fullrec_DB_127,ARR,105,1805555,1171,3306,0,0.0,1171,2948,0,0.0
fullrec_DB_127,ARR,108,1805555,1620,3392,0,0.0,1620,2564,0,0.0
fullrec_DB_127,ARR,209,1805555,1700,3420,0,0.0,1700,2473,0,0.0
fullrec_DB_127,ARR,228,1805555,1647,3384,0,0.0,1647,2714,0,0.0
fullrec_DB_127,ARR,231,1805555,1798,3372,0,0.0,1798,2569,0,0.0
fullrec_DB_127,ARR,x_232,600000,1904,3360,0,0.0,1904,2309,0,0.0
fullrec_DB_127,ARR,x_233,600000,1428,3400,0,0.0,1428,2587,0,0.0
fullrec_DB_127,NSR,16539,88496000,1610,2712,0,0.0,1610,2712,0,0.0
fullrec_DB_127,NSR,16773,86304000,851,3016,0,0.0,851,3016,0,0.0
fullrec_DB_127,AFF,07162,36823040,1858,2334,0,0.0,1858,2334,0,0.0
fullrec_DB_127,AFF,08378,36823040,678,3084,0,0.0,678,3084,0,0.0
fullrec_DB_127,AFF,08434,36823040,1315,2954,0,0.0,1315,2954,0,0.0
fullrec_DB_127,AFF,08455,36823040,0,4095,70,1.9e-06,0,4095,70,1.9e-06
fullrec_DB_127,ARR,100,1805555,1499,3387,0,0.0,1499,2454,0,0.0
fullrec_DB_127,ARR,109,1805555,1348,3473,0,0.0,1348,2795,0,0.0
fullrec_DB_127,ARR,116,1805555,370,3746,0,0.0,370,2974,0,0.0
fullrec_DB_127,ARR,119,1805555,1610,3158,0,0.0,1610,2790,0,0.0
fullrec_DB_127,ARR,203,1805555,1189,3356,0,0.0,1189,2736,0,0.0
fullrec_DB_127,ARR,207,1805555,1289,3368,0,0.0,1289,2501,0,0.0
fullrec_DB_127,ARR,210,1805555,1659,3408,0,0.0,1659,2665,0,0.0
fullrec_DB_127,ARR,212,1805555,1762,3291,0,0.0,1762,2647,0,0.0
fullrec_DB_127,ARR,213,1805555,1541,3423,0,0.0,1541,2820,0,0.0
fullrec_DB_127,ARR,214,1805555,1430,3400,0,0.0,1430,2702,0,0.0
fullrec_DB_127,ARR,217,1805555,1490,3438,0,0.0,1490,2763,0,0.0
fullrec_DB_127,ARR,219,1805555,1680,3239,0,0.0,1680,2734,0,0.0
fullrec_DB_127,ARR,220,1805555,1678,3512,0,0.0,1678,2684,0,0.0
fullrec_DB_127,ARR,221,1805555,1783,3349,0,0.0,1783,2589,0,0.0
fullrec_DB_127,ARR,222,1805555,1877,3388,0,0.0,1877,2446,0,0.0
fullrec_DB_127,ARR,232,1805555,1837,3360,0,0.0,1837,2324,0,0.0
fullrec_DB_127,ARR,233,1805555,1428,3400,0,0.0,1428,2611,0,0.0
fullrec_DB_127,ARR,234,1805555,1675,3404,0,0.0,1675,2525,0,0.0
fullrec_DB_127,ARR,x_108,600000,1733,3392,0,0.0,1733,2424,0,0.0
fullrec_DB_127,ARR,x_109,600000,1725,3473,0,0.0,1725,2507,0,0.0
fullrec_DB_127,ARR,x_111,600000,1739,3416,0,0.0,1739,2365,0,0.0
fullrec_DB_127,ARR,x_116,600000,1648,3746,0,0.0,1648,2957,0,0.0
fullrec_DB_127,ARR,x_220,600000,1712,3512,0,0.0,1712,2665,0,0.0
fullrec_DB_127,ARR,x_222,600000,1918,3388,0,0.0,1918,2334,0,0.0
fullrec_DB_127,ARR,x_223,600000,1611,3175,0,0.0,1611,2614,0,0.0
fullrec_DB_127,ARR,x_228,600000,1647,3384,0,0.0,1647,2654,0,0.0
fullrec_DB_127,NSR,19830,83608000,1589,2614,0,0.0,1589,2614,0,0.0
fullrec_DB_127,ARR,101,1805555,1421,3333,0,0.0,1421,2796,0,0.0
fullrec_DB_127,ARR,103,1805555,1641,3325,0,0.0,1641,2800,0,0.0
fullrec_DB_127,ARR,112,1805555,1758,3224,0,0.0,1758,2327,0,0.0
fullrec_DB_127,ARR,113,1805555,1817,3302,0,0.0,1817,2671,0,0.0
fullrec_DB_127,ARR,115,1805555,1641,3270,0,0.0,1641,2648,0,0.0
fullrec_DB_127,ARR,117,1805555,1697,3177,0,0.0,1697,2320,0,0.0
fullrec_DB_127,ARR,121,1805555,1574,3190,0,0.0,1574,2354,0,0.0
fullrec_DB_127,ARR,122,1805555,1813,3216,0,0.0,1813,2510,0,0.0
fullrec_DB_127,ARR,123,1805555,1709,3209,0,0.0,1709,2683,0,0.0
fullrec_DB_127,ARR,230,1805555,1528,3323,0,0.0,1528,2677,0,0.0
fullrec_DB_127,ARR,x_112,600000,1871,3224,0,0.0,1871,2305,0,0.0
fullrec_DB_127,ARR,x_113,600000,1858,3302,0,0.0,1858,2671,0,0.0
fullrec_DB_127,ARR,x_115,600000,1759,3270,0,0.0,1759,2640,0,0.0
fullrec_DB_127,ARR,x_117,600000,1794,3177,0,0.0,1794,2259,0,0.0
fullrec_DB_127,ARR,x_121,600000,1855,3190,0,0.0,1855,2354,0,0.0
fullrec_DB_127,ARR,x_122,600000,1813,3216,0,0.0,1813,2510,0,0.0
fullrec_DB_127,ARR,x_123,600000,1718,3209,0,0.0,1718,2627,0,0.0
fullrec_DB_127,ARR,x_221,600000,1793,3349,0,0.0,1793,2540,0,0.0
fullrec_DB_127,ARR,x_230,600000,1556,3323,0,0.0,1556,2626,0,0.0
fullrec_DB_127,ARR,x_234,600000,1878,3404,0,0.0,1878,2503,0,0.0
fullrec_DB_127,AFF,04043,36823040,1386,3403,0,0.0,1386,3403,0,0.0
fullrec_DB_127,AFF,05091,36823040,514,3650,0,0.0,514,3650,0,0.0
fullrec_DB_127,ARR,202,1805555,1678,3426,0,0.0,1678,2697,0,0.0
fullrec_DB_127,ARR,215,1805555,1751,3485,0,0.0,1751,2652,0,0.0
fullrec_DB_127,ARR,x_231,600000,1798,3372,0,0.0,1798,2569,0,0.0
fullrec_DB_127,CHF,chf12,71368704,946,3944,0,0.0,946,3944,0,0.0
xmodelmatch_test,seg,0000_NSR_16539_60s_9530000ms,60000,1843,2514,0,0.0,1843,2514,0,0.0
xmodelmatch_test,seg,0001_NSR_16539_60s_9810000ms,60000,1831,2555,0,0.0,1831,2555,0,0.0
xmodelmatch_test,seg,0002_NSR_16539_60s_16670000ms,60000,1834,2505,0,0.0,1834,2505,0,0.0
xmodelmatch_test,seg,0003_NSR_16539_60s_17830000ms,60000,1854,2510,0,0.0,1854,2510,0,0.0
xmodelmatch_test,seg,0004_NSR_16539_60s_18970000ms,60000,1872,2531,0,0.0,1872,2531,0,0.0
xmodelmatch_test,seg,0005_NSR_16539_60s_23700000ms,60000,1844,2545,0,0.0,1844,2545,0,0.0
xmodelmatch_test,seg,0006_NSR_16539_60s_33540000ms,60000,1828,2530,0,0.0,1828,2530,0,0.0
xmodelmatch_test,seg,0007_NSR_16539_60s_37080000ms,60000,1854,2558,0,0.0,1854,2558,0,0.0
xmodelmatch_test,seg,0008_NSR_16539_60s_38110000ms,60000,1853,2617,0,0.0,1853,2617,0,0.0
xmodelmatch_test,seg,0009_NSR_16539_60s_44330000ms,60000,1828,2536,0,0.0,1891,2536,0,0.0
xmodelmatch_test,seg,0010_NSR_16539_60s_49590000ms,60000,1727,2615,0,0.0,1727,2615,0,0.0
xmodelmatch_test,seg,0011_NSR_16539_60s_61780000ms,60000,1889,2501,0,0.0,1889,2501,0,0.0
xmodelmatch_test,seg,0012_NSR_16539_60s_62880000ms,60000,1890,2495,0,0.0,1890,2495,0,0.0
xmodelmatch_test,seg,0013_NSR_16539_60s_64690000ms,60000,1876,2518,0,0.0,1876,2517,0,0.0
xmodelmatch_test,seg,0014_NSR_16539_60s_77660000ms,60000,1477,2506,0,0.0,1882,2506,0,0.0
xmodelmatch_test,seg,0015_NSR_16539_60s_80090000ms,60000,1912,2475,0,0.0,1912,2475,0,0.0
xmodelmatch_test,seg,0016_NSR_16773_60s_3270000ms,60000,1772,2855,0,0.0,1772,2815,0,0.0
xmodelmatch_test,seg,0017_NSR_16773_60s_8670000ms,60000,1796,2835,0,0.0,1796,2824,0,0.0
xmodelmatch_test,seg,0018_NSR_16773_60s_10870000ms,60000,1791,2818,0,0.0,1791,2818,0,0.0
xmodelmatch_test,seg,0019_NSR_16773_60s_13120000ms,60000,1762,2826,0,0.0,1762,2826,0,0.0
xmodelmatch_test,seg,0020_NSR_16773_60s_20270000ms,60000,1750,2842,0,0.0,1750,2842,0,0.0
xmodelmatch_test,seg,0021_NSR_16773_60s_22090000ms,60000,1725,2844,0,0.0,1725,2844,0,0.0
xmodelmatch_test,seg,0022_NSR_16773_60s_24370000ms,60000,1712,2853,0,0.0,1712,2853,0,0.0
xmodelmatch_test,seg,0023_NSR_16773_60s_27060000ms,60000,1722,2826,0,0.0,1722,2826,0,0.0
xmodelmatch_test,seg,0024_NSR_16773_60s_30530000ms,60000,1757,2826,0,0.0,1757,2826,0,0.0
xmodelmatch_test,seg,0025_NSR_16773_60s_32660000ms,60000,1753,2832,0,0.0,1753,2832,0,0.0
xmodelmatch_test,seg,0026_NSR_16773_60s_39440000ms,60000,1755,2852,0,0.0,1755,2852,0,0.0
xmodelmatch_test,seg,0027_NSR_16773_60s_55280000ms,60000,1784,2836,0,0.0,1784,2836,0,0.0
xmodelmatch_test,seg,0028_NSR_16773_60s_60660000ms,60000,1824,2852,0,0.0,1824,2852,0,0.0
xmodelmatch_test,seg,0029_NSR_16773_60s_62430000ms,60000,1868,2777,0,0.0,1868,2777,0,0.0
xmodelmatch_test,seg,0030_NSR_16773_60s_63210000ms,60000,1875,2762,0,0.0,1875,2762,0,0.0
xmodelmatch_test,seg,0031_NSR_16773_60s_68950000ms,60000,1865,2808,0,0.0,1865,2808,0,0.0
xmodelmatch_test,seg,0032_NSR_16773_60s_77680000ms,60000,1860,2822,0,0.0,1860,2822,0,0.0
xmodelmatch_test,seg,0033_NSR_19090_60s_4140000ms,60000,1883,2362,0,0.0,1883,2362,0,0.0
xmodelmatch_test,seg,0034_NSR_19090_60s_5450000ms,60000,1874,2378,0,0.0,1874,2378,0,0.0
xmodelmatch_test,seg,0035_NSR_19090_60s_6310000ms,60000,1923,2398,0,0.0,1923,2398,0,0.0
xmodelmatch_test,seg,0036_NSR_19090_60s_8810000ms,60000,1893,2372,0,0.0,1893,2372,0,0.0
xmodelmatch_test,seg,0037_NSR_19090_60s_8880000ms,60000,1911,2352,0,0.0,1911,2352,0,0.0
xmodelmatch_test,seg,0038_NSR_19090_60s_14380000ms,60000,1900,2352,0,0.0,1900,2352,0,0.0
xmodelmatch_test,seg,0039_NSR_19090_60s_15040000ms,60000,1887,2371,0,0.0,1887,2371,0,0.0
xmodelmatch_test,seg,0040_NSR_19090_60s_16360000ms,60000,1873,2347,0,0.0,1873,2344,0,0.0
xmodelmatch_test,seg,0041_NSR_19090_60s_19960000ms,60000,1899,2365,0,0.0,1899,2365,0,0.0
xmodelmatch_test,seg,0042_NSR_19090_60s_23820000ms,60000,1913,2388,0,0.0,1913,2388,0,0.0
xmodelmatch_test,seg,0043_NSR_19090_60s_28730000ms,60000,1975,2388,0,0.0,1975,2388,0,0.0
xmodelmatch_test,seg,0044_NSR_19090_60s_36510000ms,60000,1959,2404,0,0.0,1959,2404,0,0.0
xmodelmatch_test,seg,0045_NSR_19090_60s_39270000ms,60000,1963,2392,0,0.0,1963,2392,0,0.0
xmodelmatch_test,seg,0046_NSR_19090_60s_39740000ms,60000,1972,2393,0,0.0,1972,2393,0,0.0
xmodelmatch_test,seg,0047_NSR_19090_60s_40860000ms,60000,1933,2352,0,0.0,1933,2352,0,0.0
xmodelmatch_test,seg,0048_NSR_19090_60s_52510000ms,60000,1952,2377,0,0.0,1952,2377,0,0.0
xmodelmatch_test,seg,0049_NSR_19090_60s_56870000ms,60000,1901,2311,0,0.0,1901,2311,0,0.0
xmodelmatch_test,seg,0050_CHF_chf05_60s_1270000ms,60000,1459,2524,0,0.0,1680,2524,0,0.0
xmodelmatch_test,seg,0051_CHF_chf05_60s_5410000ms,60000,1548,2499,0,0.0,1548,2499,0,0.0
xmodelmatch_test,seg,0052_CHF_chf05_60s_7050000ms,60000,1586,2497,0,0.0,1586,2497,0,0.0
xmodelmatch_test,seg,0053_CHF_chf05_60s_7340000ms,60000,1748,2467,0,0.0,1750,2467,0,0.0
xmodelmatch_test,seg,0054_CHF_chf05_60s_8700000ms,60000,1653,2670,0,0.0,1653,2670,0,0.0
xmodelmatch_test,seg,0055_CHF_chf05_60s_12960000ms,60000,1771,2442,0,0.0,1771,2442,0,0.0
xmodelmatch_test,seg,0056_CHF_chf05_60s_13970000ms,60000,1692,2486,0,0.0,1702,2486,0,0.0
xmodelmatch_test,seg,0057_CHF_chf05_60s_17850000ms,60000,1805,2316,0,0.0,1805,2316,0,0.0
xmodelmatch_test,seg,0058_CHF_chf05_60s_23540000ms,60000,1775,2539,0,0.0,1775,2539,0,0.0
xmodelmatch_test,seg,0059_CHF_chf05_60s_26020000ms,60000,1749,2541,0,0.0,1749,2541,0,0.0
xmodelmatch_test,seg,0060_CHF_chf05_60s_34320000ms,60000,1650,2533,0,0.0,1650,2533,0,0.0
xmodelmatch_test,seg,0061_CHF_chf05_60s_42170000ms,60000,1533,2612,0,0.0,1533,2612,0,0.0
xmodelmatch_test,seg,0062_CHF_chf05_60s_49400000ms,60000,1636,2529,0,0.0,1636,2529,0,0.0
xmodelmatch_test,seg,0063_CHF_chf05_60s_51670000ms,60000,1721,2492,0,0.0,1721,2492,0,0.0
xmodelmatch_test,seg,0064_CHF_chf05_60s_52240000ms,60000,1697,2569,0,0.0,1697,2569,0,0.0
xmodelmatch_test,seg,0065_CHF_chf05_60s_57250000ms,60000,1507,2556,0,0.0,1507,2556,0,0.0
xmodelmatch_test,seg,0066_CHF_chf11_60s_80000ms,60000,1084,2485,0,0.0,1134,2485,0,0.0
xmodelmatch_test,seg,0067_CHF_chf11_60s_1800000ms,60000,1167,2970,0,0.0,1167,2965,0,0.0
xmodelmatch_test,seg,0068_CHF_chf11_60s_3420000ms,60000,1163,3008,0,0.0,1163,2999,0,0.0
xmodelmatch_test,seg,0069_CHF_chf11_60s_4830000ms,60000,961,2950,0,0.0,961,2798,0,0.0
xmodelmatch_test,seg,0070_CHF_chf11_60s_12790000ms,60000,748,3091,0,0.0,748,3091,0,0.0
xmodelmatch_test,seg,0071_CHF_chf11_60s_26960000ms,60000,822,3019,0,0.0,943,3019,0,0.0
xmodelmatch_test,seg,0072_CHF_chf11_60s_27760000ms,60000,1054,3066,0,0.0,1054,3066,0,0.0
xmodelmatch_test,seg,0073_CHF_chf11_60s_28600000ms,60000,1194,2947,0,0.0,1194,2947,0,0.0
xmodelmatch_test,seg,0074_CHF_chf11_60s_30180000ms,60000,1212,3066,0,0.0,1212,3036,0,0.0
xmodelmatch_test,seg,0075_CHF_chf11_60s_34400000ms,60000,1329,3078,0,0.0,1329,3070,0,0.0
xmodelmatch_test,seg,0076_CHF_chf11_60s_39440000ms,60000,1123,3090,0,0.0,1123,3064,0,0.0
xmodelmatch_test,seg,0077_CHF_chf11_60s_48120000ms,60000,967,2568,0,0.0,967,2568,0,0.0
xmodelmatch_test,seg,0078_CHF_chf11_60s_49290000ms,60000,931,2650,0,0.0,931,2650,0,0.0
xmodelmatch_test,seg,0079_CHF_chf11_60s_49880000ms,60000,648,2538,0,0.0,957,2538,0,0.0
xmodelmatch_test,seg,0080_CHF_chf11_60s_52070000ms,60000,1007,2550,0,0.0,1007,2550,0,0.0
xmodelmatch_test,seg,0081_CHF_chf11_60s_62340000ms,60000,1111,3026,0,0.0,1111,3026,0,0.0
xmodelmatch_test,seg,0082_CHF_chf11_60s_65900000ms,60000,1043,2540,0,0.0,1043,2540,0,0.0
xmodelmatch_test,seg,0083_CHF_chf14_60s_1360000ms,60000,1613,2352,0,0.0,1613,2352,0,0.0
xmodelmatch_test,seg,0084_CHF_chf14_60s_1470000ms,60000,1576,2323,0,0.0,1576,2323,0,0.0
xmodelmatch_test,seg,0085_CHF_chf14_60s_3080000ms,60000,1389,2513,0,0.0,1389,2513,0,0.0
xmodelmatch_test,seg,0086_CHF_chf14_60s_5580000ms,60000,1479,2434,0,0.0,1479,2434,0,0.0
xmodelmatch_test,seg,0087_CHF_chf14_60s_6090000ms,60000,1395,2477,0,0.0,1395,2477,0,0.0
xmodelmatch_test,seg,0088_CHF_chf14_60s_14870000ms,60000,1641,2312,0,0.0,1641,2312,0,0.0
xmodelmatch_test,seg,0089_CHF_chf14_60s_19650000ms,60000,1771,2507,0,0.0,1771,2505,0,0.0
xmodelmatch_test,seg,0090_CHF_chf14_60s_23670000ms,60000,1727,2325,0,0.0,1727,2325,0,0.0
xmodelmatch_test,seg,0091_CHF_chf14_60s_24120000ms,60000,1616,2356,0,0.0,1616,2356,0,0.0
xmodelmatch_test,seg,0092_CHF_chf14_60s_33670000ms,60000,1622,2293,0,0.0,1622,2293,0,0.0
xmodelmatch_test,seg,0093_CHF_chf14_60s_46670000ms,60000,1527,2617,0,0.0,1527,2617,0,0.0
xmodelmatch_test,seg,0094_CHF_chf14_60s_47770000ms,60000,1676,2540,0,0.0,1676,2540,0,0.0
xmodelmatch_test,seg,0095_CHF_chf14_60s_53800000ms,60000,1579,2212,0,0.0,1579,2212,0,0.0
xmodelmatch_test,seg,0096_CHF_chf14_60s_55700000ms,60000,1464,2473,0,0.0,1464,2473,0,0.0
xmodelmatch_test,seg,0097_CHF_chf14_60s_60420000ms,60000,1595,2362,0,0.0,1595,2362,0,0.0
xmodelmatch_test,seg,0098_CHF_chf14_60s_67780000ms,60000,1591,2344,0,0.0,1591,2344,0,0.0
xmodelmatch_test,seg,0099_CHF_chf14_60s_69530000ms,60000,1551,2234,0,0.0,1551,2234,0,0.0
xmodelmatch_test,seg,0100_ARR_105_60s_20000ms,60000,1889,2539,0,0.0,1889,2539,0,0.0
xmodelmatch_test,seg,0101_ARR_105_60s_430000ms,60000,1780,2549,0,0.0,1780,2549,0,0.0
xmodelmatch_test,seg,0102_ARR_105_60s_1200000ms,60000,1288,2948,0,0.0,1288,2948,0,0.0
xmodelmatch_test,seg,0103_ARR_105_60s_1220000ms,60000,1266,2799,0,0.0,1266,2799,0,0.0
xmodelmatch_test,seg,0104_ARR_108_60s_1420000ms,60000,1864,2263,0,0.0,1864,2263,0,0.0
xmodelmatch_test,seg,0105_ARR_108_60s_1430000ms,60000,1863,2262,0,0.0,1863,2262,0,0.0
xmodelmatch_test,seg,0106_ARR_108_60s_1450000ms,60000,1872,2263,0,0.0,1872,2263,0,0.0
xmodelmatch_test,seg,0107_ARR_108_60s_1460000ms,60000,1866,2263,0,0.0,1866,2263,0,0.0
xmodelmatch_test,seg,0108_ARR_114_60s_230000ms,60000,1777,2215,0,0.0,1777,2215,0,0.0
xmodelmatch_test,seg,0109_ARR_114_60s_270000ms,60000,1725,2216,0,0.0,1725,2216,0,0.0
xmodelmatch_test,seg,0110_ARR_114_60s_360000ms,60000,1753,2212,0,0.0,1753,2212,0,0.0
xmodelmatch_test,seg,0111_ARR_114_60s_430000ms,60000,1758,2216,0,0.0,1758,2197,0,0.0
xmodelmatch_test,seg,0112_ARR_124_60s_200000ms,60000,1855,2618,0,0.0,1855,2618,0,0.0
xmodelmatch_test,seg,0113_ARR_124_60s_980000ms,60000,1722,2640,0,0.0,1722,2640,0,0.0
xmodelmatch_test,seg,0114_ARR_124_60s_1360000ms,60000,1691,2608,0,0.0,1691,2608,0,0.0
xmodelmatch_test,seg,0115_ARR_124_60s_1660000ms,60000,1804,2568,0,0.0,1804,2568,0,0.0
xmodelmatch_test,seg,0116_ARR_200_60s_260000ms,60000,1532,2429,0,0.0,1532,2429,0,0.0
xmodelmatch_test,seg,0117_ARR_200_60s_310000ms,60000,1532,2434,0,0.0,1532,2434,0,0.0
xmodelmatch_test,seg,0118_ARR_200_60s_710000ms,60000,1508,2453,0,0.0,1508,2453,0,0.0
xmodelmatch_test,seg,0119_ARR_200_60s_1380000ms,60000,1479,2526,0,0.0,1479,2526,0,0.0
xmodelmatch_test,seg,0120_ARR_200_60s_1560000ms,60000,1522,2401,0,0.0,1522,2401,0,0.0
xmodelmatch_test,seg,0121_ARR_208_60s_360000ms,60000,1793,2581,0,0.0,1793,2581,0,0.0
xmodelmatch_test,seg,0122_ARR_208_60s_560000ms,60000,1840,2601,0,0.0,1840,2601,0,0.0
xmodelmatch_test,seg,0123_ARR_208_60s_810000ms,60000,1846,2607,0,0.0,1846,2607,0,0.0
xmodelmatch_test,seg,0124_ARR_208_60s_870000ms,60000,1766,2594,0,0.0,1766,2594,0,0.0
xmodelmatch_test,seg,0125_ARR_208_60s_1420000ms,60000,1798,2617,0,0.0,1798,2617,0,0.0
xmodelmatch_test,seg,0126_ARR_209_60s_100000ms,60000,1659,2423,0,0.0,1813,2423,0,0.0
xmodelmatch_test,seg,0127_ARR_209_60s_1130000ms,60000,1842,2396,0,0.0,1842,2396,0,0.0
xmodelmatch_test,seg,0128_ARR_209_60s_1510000ms,60000,1816,2452,0,0.0,1816,2452,0,0.0
xmodelmatch_test,seg,0129_ARR_209_60s_1520000ms,60000,1816,2452,0,0.0,1816,2452,0,0.0
xmodelmatch_test,seg,0130_ARR_228_60s_1320000ms,60000,1790,2636,0,0.0,1790,2636,0,0.0
xmodelmatch_test,seg,0131_ARR_228_60s_1330000ms,60000,1791,2635,0,0.0,1791,2627,0,0.0
xmodelmatch_test,seg,0132_ARR_228_60s_1470000ms,60000,1751,2640,0,0.0,1751,2640,0,0.0
xmodelmatch_test,seg,0133_ARR_228_60s_1520000ms,60000,1733,2620,0,0.0,1733,2620,0,0.0
xmodelmatch_test,seg,0134_ARR_231_60s_1150000ms,60000,1827,2448,0,0.0,1827,2448,0,0.0
xmodelmatch_test,seg,0135_ARR_231_60s_1280000ms,60000,1840,2523,0,0.0,1840,2523,0,0.0
xmodelmatch_test,seg,0136_ARR_231_60s_1450000ms,60000,1824,2470,0,0.0,1824,2470,0,0.0
xmodelmatch_test,seg,0137_ARR_231_60s_1580000ms,60000,1831,2468,0,0.0,1831,2468,0,0.0
xmodelmatch_test,seg,0138_ARR_x_124_60s_20000ms,60000,1464,2595,0,0.0,1900,2595,0,0.0
