case_id,label,expected_class,pred_class,pred_valid,correct,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,score_nsr,score_chf,score_arr,score_aff,ectopic_pair_count,rr_alt_count,amp_jump_count,width_jump_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_terminal_delay_count,qrs_late_energy_count,qrs_asymmetry_count,qrs_peak_to_tail_count,qrs_pvc_like_count,qrs_rbbb_like_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,qrs_maf_late_event_sum,qrs_maf_late_energy_sum,qrs_maf_asymmetry_sum,qrs_maf_peak_tail_sum,qrs_template_mismatch_count,qrs_template_strong_count,qrs_template_width_count,qrs_template_energy_count,qrs_template_tail_count,qrs_template_score_sum,qrs_template_ready_count,abnormal_beat_valid_count,abnormal_beat_count,abnormal_beat_mid_count,abnormal_beat_high_count,abnormal_beat_strong_count,abnormal_beat_score_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,score_arr_before_eerg,mem_file
10,NSR,0,0,1,1,57,49,6,114,3633,1225,49,55,261,49,42,34,27,23,19,11,10,10,10,8,6,4,4,4,5892,-55921,-30845,-112213,2,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,2806,114,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,57,0,0,57,4,2,55,6,55,261,-30845,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0010_NSR_16265_60s_60410000ms.mem
11,NSR,0,0,1,1,75,69,4,149,4024,1707,69,73,207,49,34,28,22,15,10,9,8,7,7,6,5,3,2,2,-3287,-50579,-78348,-125041,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,4686,149,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,3,1,0,0,75,0,0,75,17,1,73,4,73,207,-78348,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0011_NSR_16265_60s_65230000ms.mem
12,NSR,0,0,1,1,56,54,0,110,2926,1241,54,54,179,46,39,32,22,13,11,6,4,4,2,0,0,0,0,0,47499,-45853,-48182,-159053,0,0,0,0,56,8,85,2,0,8,0,0,0,0,0,0,4294,110,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,0,0,56,0,0,54,0,54,179,-48182,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0012_NSR_16265_60s_65690000ms.mem
13,NSR,0,0,1,1,58,54,2,115,3066,1239,54,56,217,48,38,31,25,17,15,12,9,6,4,3,3,3,2,1,36907,-64412,-42094,-120242,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3057,115,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,58,0,0,56,2,56,217,-42094,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0013_NSR_16265_60s_66760000ms.mem
14,NSR,0,0,1,1,58,53,3,115,3055,1219,53,56,194,45,37,29,23,18,12,8,4,4,4,3,2,2,2,1,37706,-58186,-45747,-120771,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3509,115,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,58,0,0,56,3,56,194,-45747,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0014_NSR_16265_60s_67300000ms.mem
15,NSR,0,0,1,1,58,49,7,111,3057,1127,49,56,287,52,44,39,34,28,18,15,11,8,7,7,6,6,6,6,2940,-70360,-13139,-98503,0,0,0,0,58,2,8,2,0,0,0,0,0,0,0,0,4555,111,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,58,4,0,56,7,56,287,-13139,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0015_NSR_16265_60s_67640000ms.mem
16,NSR,0,0,1,1,59,57,0,117,3194,1311,57,57,186,47,41,29,25,17,12,8,3,3,1,0,0,0,0,0,50646,-68473,-44585,-138239,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3958,117,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,59,0,0,59,0,0,57,0,57,186,-44585,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0016_NSR_16265_60s_69100000ms.mem
17,NSR,0,0,1,1,59,56,1,118,3599,1344,56,57,238,50,46,37,29,22,20,15,9,6,2,1,1,0,0,0,64328,-73255,-59793,-140055,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3860,118,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,59,0,0,59,0,0,57,1,57,238,-59793,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0017_NSR_16265_60s_73170000ms.mem
18,NSR,0,0,1,1,97,94,1,191,3082,1250,94,95,106,52,23,11,6,4,1,1,1,1,1,1,1,1,1,1,-12431,-89266,-60001,-42677,0,0,0,0,97,3,13,3,0,0,0,0,0,0,0,0,4982,191,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,97,0,0,97,0,0,95,1,95,106,-60001,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0056_NSR_16483_60s_2410000ms.mem
19,NSR,0,0,1,1,92,89,1,183,3228,1151,89,90,63,36,11,3,2,1,1,1,1,1,1,1,1,1,1,1,10096,-41721,-121845,-36387,0,0,0,0,92,1,6,1,0,0,0,0,0,0,0,0,4145,181,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,92,0,0,92,0,0,90,1,90,63,-121845,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0057_NSR_16483_60s_2500000ms.mem
20,NSR,0,0,1,1,90,87,1,179,2555,972,87,88,83,45,18,6,2,2,1,1,1,1,1,1,1,1,1,1,8428,-74668,-66997,-27609,0,0,0,0,90,1,4,1,0,0,0,0,0,0,0,0,4284,178,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,90,0,0,90,9,0,88,1,88,83,-66997,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0058_NSR_16483_60s_5120000ms.mem
21,NSR,0,0,1,1,93,91,0,185,3359,1253,91,91,70,38,8,6,4,2,2,2,2,2,2,1,1,0,0,0,7972,-42645,-130830,-43641,0,0,0,0,93,4,30,3,0,1,0,0,0,0,0,0,3799,180,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,93,0,0,93,0,0,91,0,91,70,-130830,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0059_NSR_16483_60s_9250000ms.mem
22,NSR,0,0,1,1,95,93,0,189,3298,1394,93,93,42,34,6,2,0,0,0,0,0,0,0,0,0,0,0,0,20077,-34966,-149952,-54736,0,0,0,0,95,1,6,1,0,0,0,0,0,0,0,0,3258,189,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,95,0,0,95,0,0,93,0,93,42,-149952,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0060_NSR_16483_60s_15650000ms.mem
23,NSR,0,0,1,1,88,83,3,175,3077,1144,83,86,148,46,28,18,11,7,7,7,7,5,5,3,1,1,1,1,4750,-83119,-73404,-47237,1,0,0,0,88,8,55,8,0,0,0,0,0,0,0,0,2611,170,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,88,0,0,88,1,1,86,3,86,148,-73404,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0061_NSR_16483_60s_21740000ms.mem
24,NSR,0,0,1,1,81,77,2,159,2782,1071,77,79,122,45,27,12,6,4,4,3,3,3,3,3,3,2,2,2,3843,-71011,-51826,-54225,0,0,0,0,81,1,5,1,0,0,0,0,0,0,0,0,2954,159,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,81,0,0,81,2,0,79,2,79,122,-51826,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0062_NSR_16483_60s_22600000ms.mem
25,NSR,0,0,1,1,83,81,0,165,2859,1021,81,81,23,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52430,-2243,-176731,-42809,0,0,0,0,83,1,5,1,0,0,0,0,0,0,0,0,3037,165,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,83,0,0,83,0,0,81,0,81,23,-176731,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0063_NSR_16483_60s_24790000ms.mem
26,NSR,0,0,1,1,81,79,0,161,2822,1025,79,79,39,29,7,3,0,0,0,0,0,0,0,0,0,0,0,0,38849,-24612,-131209,-50149,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,4564,161,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,81,0,0,81,0,0,79,0,79,39,-131209,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0064_NSR_16483_60s_25180000ms.mem
27,NSR,0,1,1,0,86,75,9,163,2857,962,74,84,212,36,19,15,14,14,14,14,14,14,12,10,9,9,9,9,-23219,-20575,-108225,-11651,6,0,0,0,86,3,15,3,0,0,0,0,0,0,0,0,3349,160,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1,6,1,0,0,86,0,0,86,5,6,84,9,84,212,-108225,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0065_NSR_16483_60s_37100000ms.mem
28,NSR,0,0,1,1,87,83,2,170,3293,1243,83,85,71,23,12,3,3,3,3,3,3,3,3,3,3,2,2,2,25419,15608,-184455,-68071,0,0,0,0,87,7,53,1,0,7,0,0,0,0,0,0,3613,170,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,87,0,0,87,2,0,85,2,85,71,-184455,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0066_NSR_16483_60s_40630000ms.mem
29,NSR,0,0,1,1,74,68,4,145,2858,1140,68,72,142,51,25,15,8,6,5,4,4,4,4,4,3,3,3,3,-20354,-79365,-8392,-71930,1,0,0,0,74,1,7,1,0,0,0,0,0,0,0,0,4483,145,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,74,0,0,74,2,1,72,4,72,142,-8392,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0067_NSR_16483_60s_50710000ms.mem
30,NSR,0,0,1,1,71,69,0,141,2778,1157,69,69,86,42,15,12,7,5,3,2,0,0,0,0,0,0,0,0,22298,-59638,-59082,-85521,0,0,0,0,71,1,7,1,0,0,0,0,0,0,0,0,2621,141,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,71,0,0,71,0,0,69,0,69,86,-59082,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0068_NSR_16483_60s_53870000ms.mem
31,NSR,0,0,1,1,76,74,0,151,2801,1032,74,74,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56368,5278,-170970,-57495,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,3000,151,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,76,0,0,76,0,0,74,0,74,20,-170970,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0069_NSR_16483_60s_58910000ms.mem
32,NSR,0,0,1,1,71,69,0,141,2497,897,69,69,47,31,12,3,1,0,0,0,0,0,0,0,0,0,0,0,32577,-38790,-83577,-58885,0,0,0,0,71,1,4,1,0,0,0,0,0,0,0,0,2609,141,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,71,0,0,71,0,0,69,0,69,47,-83577,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0070_NSR_16483_60s_68150000ms.mem
33,NSR,0,0,1,1,69,67,0,137,2503,890,67,67,82,43,25,11,3,0,0,0,0,0,0,0,0,0,0,0,23599,-70394,-25558,-73330,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,5042,137,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,69,0,0,69,0,0,67,0,67,82,-25558,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0071_NSR_16483_60s_68430000ms.mem
34,NSR,0,0,1,1,73,71,0,145,2741,992,71,71,35,27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,37806,-20528,-117008,-61249,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,3334,145,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,73,0,0,73,0,0,71,0,71,35,-117008,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0072_NSR_16483_60s_70000000ms.mem
35,NSR,0,0,1,1,76,71,3,149,2908,1134,71,74,67,20,5,4,4,4,3,3,3,3,3,3,3,3,3,3,30141,5312,-160615,-55567,0,0,0,0,76,1,7,1,0,0,0,0,0,0,0,0,2703,149,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,76,0,0,76,2,0,74,3,74,67,-160615,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0073_NSR_16483_60s_70940000ms.mem
36,NSR,0,0,1,1,81,79,0,40,1416,696,79,79,130,50,34,21,14,10,1,0,0,0,0,0,0,0,0,0,-27312,-31889,-33438,-37943,0,0,0,0,81,2,7,2,0,0,0,0,0,0,0,0,3628,40,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,81,0,0,81,0,0,79,0,79,130,-33438,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0074_NSR_16795_60s_480000ms.mem
37,NSR,0,2,1,0,78,68,8,30,1249,547,68,76,328,64,55,43,33,24,21,17,11,11,10,8,8,8,8,7,-57389,-61708,12649,-7326,1,0,0,0,78,5,13,5,0,0,0,0,0,0,0,0,3896,30,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,3,1,0,0,78,0,0,78,14,1,76,8,76,328,12649,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0075_NSR_16795_60s_2660000ms.mem
38,NSR,0,2,1,0,83,73,8,24,1415,560,73,81,275,66,43,34,27,15,12,11,10,9,8,8,8,8,8,8,-111282,-46561,65677,-969,3,0,0,0,83,4,6,4,0,0,0,0,0,0,0,0,4029,24,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,83,1,1,83,5,3,81,8,81,275,65677,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0076_NSR_16795_60s_4310000ms.mem
39,NSR,0,1,1,0,87,77,8,0,1389,381,77,85,246,59,38,22,16,15,12,11,11,11,10,9,8,8,8,8,-133186,-20708,15300,40646,1,0,0,0,87,2,1,2,0,0,0,0,0,0,0,0,3594,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,2,0,0,0,87,0,0,87,6,1,85,8,85,246,15300,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0077_NSR_16795_60s_16890000ms.mem
40,NSR,0,0,1,1,84,82,0,65,1727,899,82,82,170,63,47,30,17,8,2,1,1,1,0,0,0,0,0,0,-26196,-71954,6676,-62523,0,0,0,0,84,1,5,1,0,0,0,0,0,0,0,0,3611,65,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,84,0,0,84,0,0,82,0,82,170,6676,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0078_NSR_16795_60s_18470000ms.mem
41,NSR,0,1,1,0,87,78,6,16,1523,530,78,85,202,59,40,25,12,10,7,6,6,6,6,6,5,5,5,4,-86611,-21128,27550,-6187,4,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,3083,16,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,86,1,1,86,2,4,84,6,85,202,27550,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0079_NSR_16795_60s_21940000ms.mem
42,NSR,0,1,1,0,93,90,1,16,1532,690,90,91,120,49,25,15,8,5,4,2,2,2,2,2,1,1,1,1,-104099,-35421,-32487,8651,0,0,0,0,93,15,69,15,0,0,0,0,0,0,0,0,2649,16,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,4,5,4,0,0,93,0,0,93,0,0,91,1,91,120,-32487,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0080_NSR_16795_60s_22220000ms.mem
43,NSR,0,0,1,1,108,103,3,85,2110,924,103,106,189,63,39,22,15,9,8,6,5,4,3,3,3,3,3,3,-69368,-51225,-49150,2042,1,0,0,0,108,1,5,1,0,0,0,0,0,0,0,0,5558,85,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,1,0,0,0,108,0,0,108,1,1,106,3,106,189,-49150,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0081_NSR_16795_60s_25340000ms.mem
