test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
LTSPICE_DIRECT_VS_TH,XMODEL_ALIGNED,results/xmodel_aligned/nominal/ltspice_xmodel_aligned_adc_samples.csv,POST,sample_count,,10000,samples,,MEASURED,results/xmodel_aligned/nominal/ltspice_xmodel_aligned_adc_samples.csv,diagnostic only; not LTspice↔XMODEL equivalence
LTSPICE_VS_FIXED_XMODEL,full_10s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,zero_lag_correlation,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,ratio,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,full_10s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,best_lag,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,samples,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,full_10s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,best_lag_correlation,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,ratio,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,full_10s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,stress_code_difference,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,sample_count,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,samples,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,sample_aperture,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,s,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,signed_code_min,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,code,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,signed_code_max,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,code,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,clipping_count,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,samples,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,mean_error,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,MAE,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,RMS_error,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,maximum_error,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,zero_lag_correlation,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,ratio,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,best_lag,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,samples,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,best_lag_correlation,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,ratio,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
LTSPICE_VS_FIXED_XMODEL,settled_after_1s,schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,CORRELATION,stress_code_difference,fixed XMODEL commit 4756a5086023547328ef44fd5fd87da3c250dc39,,LSB,,PENDING_XMODEL_EXECUTION,results/xmodel_aligned/xmodel_reference/adc_nominal.txt,Questa/XMODEL executable and fixed output are unavailable in this workspace; no value inferred
